Nama,Class,Rating,Total Rater,Facility,Price
Hotel Ciputra Cibubur managed by Swiss-Belhotel International,4-star hotel,4.6,"(2,974)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 883,292"
favehotel Bandara - Tangerang,4-star hotel,4.3,"(2,061)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 373,229"
"The Mayflower, Jakarta - Marriott Executive Apartments",4-star hotel,4.7,(506),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,117,500"
Golden Boutique Hotel Kemayoran,4-star hotel,4.4,"(5,017)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 374,400"
Aloft South Jakarta,4-star hotel,4.7,(748),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 781,806"
Ascott Sudirman Jakarta,4-star hotel,4.6,"(1,671)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 2,113,564"
Redtop Hotel & Convention Center,4-star hotel,4.4,"(4,828)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 613,453"
Anara Airport Hotel Terminal 3 CGK,4-star hotel,4.8,"(1,389)","['Breakfast', 'Free Wi-Fi', 'Parking ($)', 'Room service', 'Full-service laundry', 'Accessible']","IDR 1,099,999"
Albergo Ballroom,4-star hotel,4.3,"(1,054)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 768,935"
Golden Boutique Hotel Melawai,4-star hotel,4.3,"(1,535)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 436,425"
Tondano Residence Jakarta,4-star hotel,4.2,(258),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Pet-friendly', 'Restaurant', 'Full-service laundry', 'Child-friendly']",0
Somerset Berlian,4-star hotel,4.5,"(3,842)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Restaurant']","IDR 1,702,167"
Elliottii Residence Duta Niaga,4-star hotel,4.6,(78),"['Free Wi-Fi', 'Parking', 'Pool', 'Air conditioning', 'Airport shuttle']",0
Sparks Luxe Jakarta,4-star hotel,4.4,"(3,846)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']",0
Batavia Apartments,4-star hotel,4.5,"(1,056)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Restaurant']","IDR 709,364"
Leisure Inn Arion Hotel,4-star hotel,4.3,(426),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 412,590"
Nagomi Suites,4-star hotel,4.7,(120),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Kitchen in rooms']","IDR 902,700"
Citadines Rasuna Jakarta,4-star hotel,4.1,(131),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 904,698"
Twin Plaza Hotel,4-star hotel,-,-,"['Free Wi-Fi', 'Air conditioning', 'Restaurant']",0
Midtown Residence,4-star hotel,4.1,(116),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 651,613"
Elliottii Residence Pondok Hijau,4-star hotel,4.5,(84),"['Free Wi-Fi', 'Parking', 'Pool', 'Restaurant']",0
Elliottii Residence Alam Asri,4-star hotel,4.4,(131),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning']",0
Countrywoods Residences,4-star hotel,4.4,(619),"['Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Pet-friendly', 'Fitness centre', 'Restaurant', 'Room service']",0
