Name,Class,Rating,Total Rater,Facility,Price,Area
Hotel Sulawesi Kertajaya,2-star hotel,4.2,(591),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 240,061",Surabaya
C.Stone Hotel Suramadu,2-star hotel,3.9,(273),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 272,301",Surabaya
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
Mira Inn,2-star hotel,3.7,(270),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Smoke-free property']","IDR 400,000",Surabaya
OYO Flagship 90717 Hotel Kalimantan Surabaya,2-star hotel,3.9,(121),"['Free Wi-Fi', 'Full-service laundry', 'Child-friendly']","IDR 114,845",Surabaya
Green Surabaya Homey [Syariah],2-star hotel,4.5,(442),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Kitchen in some rooms', 'Full-service laundry', 'Accessible']",0,Surabaya
Mutiara Timor Hotel,2-star hotel,4.1,(336),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 188,100",Surabaya
Kertajaya Residence Syariah Surabaya,2-star hotel,4.5,(68),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 135,106",Surabaya
My Hommy Guest House,2-star hotel,3.9,(61),"['Free Wi-Fi', 'Free parking', 'Child-friendly']","IDR 223,684",Surabaya
Hotel Malibu,2-star hotel,4.3,(233),"['Breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Room service', 'Full-service laundry']",0,Surabaya
Gardena Homestay Kertajaya,2-star hotel,4.3,(304),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0,Surabaya
ZEN Rooms Basic Kupang Baru,2-star hotel,3.9,(16),"['Pet-friendly', 'Child-friendly']",0,Surabaya
Hotel Mesir,2-star hotel,4,(134),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 1,374,843",Surabaya
OYO Life 3847 Drainbow Family Homestay,2-star hotel,4.1,(105),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 220,749",Surabaya
casa sidoluhur 17,2-star hotel,4.6,(39),"['Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 170,206",Surabaya
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
Sparkling Backpacker Hotel,2-star hotel,3.8,(355),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Pet-friendly']","IDR 1,360,781",Surabaya
Hotel Gubeng,2-star hotel,3.4,(137),"['Wi-Fi', 'Free parking', 'Air conditioning']",0,Surabaya
RedDoorz @ Rungkut,2-star hotel,3.5,(116),"['Free Wi-Fi', 'Air conditioning']","IDR 86,399",Surabaya
Hotel Ganefo,2-star hotel,3.9,(209),"['Free parking', 'Air conditioning', 'Child-friendly']",0,Surabaya
Bhineka II Hotel,2-star hotel,3.5,(102),['Child-friendly'],0,Surabaya
Grand Citihub Gubeng,2-star hotel,-,-,['Free Wi-Fi'],0,Surabaya
Soerabaja Place Hotel,2-star hotel,4.2,(51),"['Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Surabaya
Graha Matahari Syariah Karah,2-star hotel,4.1,(57),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 67,441",Surabaya
Hotel Singaraja Indah,2-star hotel,4.2,(182),"['Wi-Fi', 'Full-service laundry', 'Child-friendly']",0,Surabaya
RedDoorz near Pelabuhan Tanjung Perak 2 Surabaya,2-star hotel,4,(359),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 124,688",Surabaya
RedDoorz near Taman Bungkul,2-star hotel,3.9,(124),['Free Wi-Fi'],"IDR 144,942",Surabaya
OYO 90901 Taman Daun,2-star hotel,4,(41),['Child-friendly'],"IDR 166,082",Surabaya
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
Graha Sekar Arum RedPartner,2-star hotel,4,(109),['Free Wi-Fi'],"IDR 180,159",Surabaya
"Hotel FaveMex, low price high quality",2-star hotel,4.4,(89),"['Free Wi-Fi', 'Parking', 'Restaurant', 'Room service', 'Full-service laundry']",0,Surabaya
OYO 3782 Gunung Anyar,2-star hotel,3.9,(72),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly', 'Smoke-free property']","IDR 110,822",Surabaya
ZEN Rooms Gubeng Kertajaya,2-star hotel,4.7,(3),['Child-friendly'],0,Surabaya
RedDoorz near Universitas Wijaya Kusuma 2,2-star hotel,4.2,(180),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Child-friendly']","IDR 200,203",Surabaya
OMAH DENAYA HOTEL,2-star hotel,4.1,(241),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",0,Surabaya
ZEN Rooms Kalimas KH Mas Mansyur,2-star hotel,3.7,(17),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Pet-friendly', 'Restaurant', 'Airport shuttle', 'Full-service laundry']","IDR 405,813",Surabaya
Djagalan Raya Hotel,2-star hotel,4.3,(223),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']",0,Surabaya
