No,Nama,Class,Rating,Rater,Facility,Price
62,Santika Premiere Hayam Wuruk,4-star hotel,4.5,"(4,288)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 526,899"
63,Hotel Marcopolo Jakarta,3-star hotel,4.3,"(1,064)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 495,479"
64,Sunlake Hotel,4-star hotel,4.4,"(7,683)","['Breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 512,000"
65,The Sultan Hotel & Residence Jakarta,5-star hotel,4.6,"(12,736)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 960,333"
66,favehotel PGC Cililitan,3-star hotel,4.3,"(10,550)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 294,078"
67,Grand Cemara Hotel,3-star hotel,4.1,"(1,793)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']",DEAL
68,POP! Hotel Tebet,2-star hotel,4.1,"(2,835)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 303,600"
69,Grand Mercure Jakarta Harmoni,5-star hotel,4.5,"(7,819)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,140,755"
70,Amaris Hotel Thamrin City,2-star hotel,4.2,"(4,188)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 295,901"
71,Grand Picasso Hotel,3-star hotel,4.4,(936),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 384,874"
72,Mercure Convention Center Ancol,4-star hotel,4.4,"(10,554)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Beach access']","IDR 804,065"
