,0,1,2,3,4
106,Hotel Paragon,4.0,"(1,011)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 261,372"
107,Shalva Hotel Jakarta,4.4,"(1,241)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 425,251"
108,Hotel Diradja,4.2,"(2,433)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 335,638"
109,Best Western Senayan,4.5,"(2,099)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 512,352"
110,OYO Townhouse 2 Hotel Gunung Sahari,4.2,(755),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']","IDR 188,280"
111,Whiz Prime Hotel Kelapa Gading,4.3,"(3,235)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 455,903"
112,Mega Anggrek Hotel,4.1,"(3,670)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant']","IDR 289,650"
113,Blessing Residence,4.1,(296),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Full-service laundry', 'Child-friendly']","IDR 324,001"
114,Hotel NEO Mangga Dua Square,4.1,"(3,293)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 276,627"
115,Coins Hotel Indonesia,4.3,"(1,047)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 278,698"
116,favehotel Tanah Abang - Cideng,4.3,"(2,310)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 274,414"
117,Hotel Bintang Wisata Mandiri,4.0,(682),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 204,658"
118,Ayaka Suites,4.4,"(2,330)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 400,091"
119,Feodora Hotel grogol,3.8,(611),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
