Name,Class,Rating,Total Rater,Facility,Price,Area
Beehive Cafe & Boutique Hotel,2-star hotel,4.4,"(2,803)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
RedDoorz @ Hotel Arimbi Dewi Sartika Baru,2-star hotel,3.9,"(1,004)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 160,313",Bandung
OYO 3908 Fenway Kostel,2-star hotel,4.1,(37),"['Free Wi-Fi', 'Air conditioning']","IDR 99,325",Bandung
The Palais Dago Hotel,2-star hotel,4.4,(736),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Breakfast', 'Restaurant', 'Room service', 'Airport shuttle']",0,Bandung
dbest express,2-star hotel,4.3,(821),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 284,824",Bandung
I Residence Bandung,2-star hotel,4.2,(264),"['Free Wi-Fi', 'Room service', 'Full-service laundry']","IDR 252,791",Bandung
Flores Gallery Hotel,2-star hotel,4.1,(444),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
Hotel Jelita Parahyangan,2-star hotel,4.1,(273),"['Free breakfast', 'Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
MYPODROOM Hotel Kapsul Bandung,2-star hotel,4.8,(244),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Room service', 'Full-service laundry']",0,Bandung
OYO 2085 Chrysanta Hotel,2-star hotel,2.5,(99),"['Free parking', 'Air conditioning']",0,Bandung
Image Hotel & Resto,2-star hotel,3.8,(480),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 151,397",Bandung
RedDoorz near Telkom Corporate University,2-star hotel,3.1,(261),"['Free Wi-Fi', 'Air conditioning']","IDR 132,970",Bandung
RedDoorz near Gedung Sate 2,2-star hotel,4.5,(478),"['Free Wi-Fi', 'Room service', 'Child-friendly']","IDR 174,563",Bandung
Rumah Teras,2-star hotel,4.4,(154),"['Air conditioning', 'Child-friendly']",0,Bandung
Hotel Danoufa,2-star hotel,4.2,(318),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
Excellent Seven Hotel,2-star hotel,3.9,(507),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Bandung
OYO 340 Cleo Guest House,2-star hotel,3.8,(383),"['Free breakfast', 'Free Wi-Fi', 'Child-friendly']",0,Bandung
Airy Gasibu Aria Jipang 6 Bandung,2-star hotel,4.4,(144),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Parking', 'Room service', 'Smoke-free property']",0,Bandung
OYO 1608 Feby Maisonatte,2-star hotel,3.2,(239),"['Free Wi-Fi', 'Air conditioning']","IDR 88,929",Bandung
RedDoorz @ Buah Batu,2-star hotel,4.5,(215),"['Wi-Fi', 'Air conditioning']","IDR 129,963",Bandung
Oyo Arwiga Hotel,2-star hotel,4.2,(521),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
Hotel Lodaya Syariah Bandung RedPartner,2-star hotel,3.7,(509),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 132,250",Bandung
OYO 3362 Pondok Betah Syariah,2-star hotel,4.4,(173),['Free Wi-Fi'],0,Bandung
OYO 3805 Ceria House Sultan Premier,2-star hotel,4.4,(200),"['Free Wi-Fi', 'Free parking', 'Breakfast', 'Smoke-free property']",0,Bandung
OYO 2993 Wisma Pkbi Jawa Barat,2-star hotel,4.1,(206),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0,Bandung
Dago's Hill Hotel,2-star hotel,4.3,(213),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning']","IDR 185,089",Bandung
The Regia by Ultimo,2-star hotel,4.2,(426),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 209,535",Bandung
Cottonwood Bed & Breakfast House Bandung,2-star hotel,4.5,(687),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 547,646",Bandung
VIO Hotel Westhoff,2-star hotel,4.2,"(1,055)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 315,410",Bandung
The Ethnic Hotel Bandung,2-star hotel,3.3,(142),"['Air conditioning', 'Restaurant', 'Full-service laundry', 'Child-friendly']","IDR 141,473",Bandung
Hotel Benua,2-star hotel,4.1,"(2,223)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 216,329",Bandung
Bobobox Dago,2-star hotel,4.7,(687),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 247,832",Bandung
OYO 259 Galaxy Inn,2-star hotel,4,(622),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 163,736",Bandung
Vio Hotel Surapati Bandung,2-star hotel,4.2,(913),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 300,000",Bandung
Airy Eco Pasteur Cipedes Tengah,2-star hotel,4.2,(376),"['Free Wi-Fi', 'Parking ($)', 'Air conditioning', 'Breakfast', 'Smoke-free property']","IDR 105,315",Bandung
Naraya house,2-star hotel,4.1,(145),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 182,259",Bandung
Casa d'Ladera,2-star hotel,4.3,(853),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 251,480",Bandung
Ghotic Hotel,2-star hotel,4.2,"(1,886)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 266,960",Bandung
Vio Hotel Veteran,2-star hotel,4,(925),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 225,063",Bandung
RedDoorz Hostel @ Dago 2,2-star hotel,4.3,(421),"['Free breakfast', 'Free Wi-Fi', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Full-service laundry']","IDR 201,876",Bandung
RedDoorz near Alun Alun Bandung 3,2-star hotel,4.2,(205),"['Free Wi-Fi', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 132,022",Bandung
"INAP at Capsule Hostel Bandung, Grand Asia Afrika",2-star hotel,4.4,(622),"['Breakfast', 'Free Wi-Fi', 'Pool', 'Child-friendly']","IDR 250,000",Bandung
Hotel Corsica,2-star hotel,4.1,(521),"['Free breakfast', 'Wi-Fi', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 232,135",Bandung
