Name,Class,Rating,Total Rater,Facility,Price,Area
Jambrut Inn Hotel,2-star hotel,4.1,(202),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Accessible', 'Child-friendly']","IDR 169,263",Jakarta
BI Executive Hotel,2-star hotel,4.5,"(1,472)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 402,900",Jakarta
d'primahotel WTC Mangga Dua,2-star hotel,4.3,(674),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 216,173",Jakarta
U Stay Hotel Asem Baris Jakarta,2-star hotel,4.4,(633),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 364,650",Jakarta
V Hotel Tebet,2-star hotel,4.3,"(1,874)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 339,151",Jakarta
OYO 148 Cempaka Place Homestay,2-star hotel,4,(651),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 132,253",Jakarta
Sun Rise House,2-star hotel,4.3,(295),"['Free Wi-Fi', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 187,246",Jakarta
Urbanview Hotel Bes Mangga Besar,2-star hotel,3.9,(278),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 178,080",Jakarta
LeGreen Suite Supomo,2-star hotel,4.3,(322),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 211,939",Jakarta
RedDoorz near Hayam Wuruk,2-star hotel,3.2,(745),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 94,941",Jakarta
Rota Hotel,2-star hotel,3.8,(311),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 306,156",Jakarta
The Nyaman Jakarta,2-star hotel,4.5,(372),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']",0,Jakarta
RedDoorz Plus @ Cideng Barat,2-star hotel,4.3,(662),['Free Wi-Fi'],"IDR 163,875",Jakarta
Cikini Hotel,2-star hotel,4.3,"(1,084)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 257,322",Jakarta
