Name,Class,Rating,Total Rater,Facility,Price,Area
Fortuna Jogja Guest House & RENTAL,2-star hotel,3.9,(71),"['Free breakfast', 'Free parking', 'Air conditioning', 'Wi-Fi', 'Airport shuttle', 'Child-friendly']","IDR 140,000",Jogjakarta
Hotel Safara Yogyakarta,2-star hotel,4.3,(306),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Airport shuttle', 'Accessible', 'Child-friendly']","IDR 170,316",Jogjakarta
Tjiptorini Jaya Hotel,2-star hotel,4.2,(355),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 176,444",Jogjakarta
Rumah Roso Homestay,2-star hotel,4.5,(766),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Pet-friendly', 'Bar', 'Restaurant', 'Kitchen in some rooms']","IDR 169,903",Jogjakarta
Putra Jaya Hotel,2-star hotel,4,(352),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
Hotel Cinka Garini,2-star hotel,4.2,(469),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
OYO 3864 Babaran 71,2-star hotel,4.5,(251),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly', 'Smoke-free property']","IDR 196,875",Jogjakarta
Pondok Parador,2-star hotel,4.8,(40),"['Free Wi-Fi', 'Free parking']","IDR 332,500",Jogjakarta
Delta Hotel,2-star hotel,4.2,(253),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
Soeka Jogja / RedDoorz Near Gejayan 3,2-star hotel,4.8,(55),"['Free Wi-Fi', 'Free parking']","IDR 276,645",Jogjakarta
