,Name,Rating,Total Rater,Area,AirConditioner,Bar,Pool,Spa,FitenessCenter,Restaurant,HotTub,Price_IDR,hotelClass
248,Jambuluwuk Thamrin Hotel,4.5,(567),Jakarta,True,False,True,False,True,True,False,551698,3
249,"Holiday Inn Express Jakarta Matraman, an IHG Hotel",4.6,"(1,576)",Jakarta,True,False,False,False,True,True,False,501542,3
250,Park Hotel Jakarta,4.3,"(3,797)",Jakarta,True,True,True,True,True,False,False,351720,3
251,Horison Falatehan Jakarta,4.1,"(1,807)",Jakarta,True,False,False,False,False,True,False,270325,3
252,Liberty Hotel Thamrin Jakarta,4.4,(851),Jakarta,True,False,False,False,False,True,False,408795,3
253,Cabin Hotel,4.3,"(1,993)",Jakarta,True,False,False,False,False,True,False,364419,3
254,Orchardz Hotel,4.4,"(4,240)",Jakarta,True,False,False,True,False,True,True,399804,3
255,LUMINOR HOTEL KOTA,4.5,"(1,775)",Jakarta,True,False,False,False,False,True,False,525000,3
256,"Sparks Life, ARTOTEL Curated - Jakarta",4.2,"(1,291)",Jakarta,True,False,True,True,False,True,True,222232,3
257,"Holiday Inn Express Jakarta Wahid Hasyim, an IHG Hotel",4.4,"(2,571)",Jakarta,True,True,False,False,True,True,False,542557,3
258,Hotel 88 Mangga Besar 62,4.2,"(1,779)",Jakarta,True,False,False,False,False,True,False,289188,3
259,Lynt,4.2,(888),Jakarta,True,False,False,False,False,True,False,229165,3
260,favehotel Zainul Arifin,4.3,"(1,718)",Jakarta,True,False,False,False,False,True,False,321574,3
261,Hotel Alia Cikini,4.4,(104),Jakarta,True,False,True,False,False,True,False,450000,3
262,Liberta Hotel Kemang,4.1,"(2,449)",Jakarta,True,True,True,False,False,True,False,305268,3
263,Rasuna Icon Hotel,4.3,"(1,330)",Jakarta,True,False,False,False,True,True,False,324005,3
264,Verse Lite Hotel Gajah Mada,4.1,"(1,187)",Jakarta,True,False,False,False,False,True,False,223060,3
265,"Treehouse Suites at Kuningan, Jakarta",4.6,(224),Jakarta,True,False,False,False,False,True,False,652264,3
266,"Holiday Inn Express Jakarta Pluit Citygate, an IHG Hotel",4.3,"(2,107)",Jakarta,True,False,False,False,True,False,False,616999,3
267,Tendean Residences,4.5,(728),Jakarta,True,False,False,False,False,False,False,289680,3
268,Sofyan Hotel Soepomo,4.3,"(2,821)",Jakarta,True,False,False,False,False,True,False,238714,3
269,Hotel Daily Inn,4.4,"(1,450)",Jakarta,True,False,False,False,False,True,False,332464,3
270,Capital O 126 Business Hotel,3.9,"(1,179)",Jakarta,False,False,False,False,False,True,False,176790,3
271,Hotel Kuretakeso Kemang,4.5,"(1,245)",Jakarta,True,False,False,True,True,False,True,461191,3
272,Arcadia Mangga Dua by Horison,4.1,"(2,718)",Jakarta,True,False,False,True,True,True,False,599118,3
273,Ghurfati Hotel,4.2,(655),Jakarta,True,False,False,False,False,False,False,110880,3
274,favehotel Pluit Junction,4.2,(789),Jakarta,True,False,False,False,False,True,False,381534,3
275,Dreamtel Hotel Jakarta,4.1,"(1,718)",Jakarta,True,False,False,False,False,True,False,327655,3
276,Sriwijaya Hotel,4.2,"(1,789)",Jakarta,True,False,False,False,False,True,False,427061,3
277,SOTIS HOTEL FALATEHAN JAKARTA,4.3,"(1,106)",Jakarta,True,True,False,False,False,True,False,475802,3
278,Hotel 88 Grogol,4.2,"(1,620)",Jakarta,True,False,False,False,False,True,False,296145,3
279,RUMANAMI,4.3,(146),Jakarta,True,False,False,False,True,True,False,365750,3
280,Erian Hotel,4.6,"(1,251)",Jakarta,True,True,False,False,False,True,False,432212,3
282,Teraskita Hotel Jakarta Managed by Dafam,4.4,"(6,421)",Jakarta,True,True,False,True,False,True,False,468407,3
283,Kyriad Metro Kebayoran,4.4,"(1,389)",Jakarta,True,False,True,False,False,True,False,308732,3
